ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Fecha en que empieza el precio rebajado","Fecha en que termina el precio de oferta","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","Vendido Individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir reseñas de clientes?","Notas de la compra","Precio de oferta","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
5365,simple,45214,"Teclado Gaming HP GK 400F",1,0,visible,"Diseño elegante y panel de metal integrado, no es fácil de oxidar, resistente a rasguños.
El teclado adopta un diseño de interruptor mecánico, con 50 millones de teclas clave, una sensación de tacto de la mano duradera y buena.
Con el modo de suspensión inteligente: la función de retroiluminación se desactiva cuando el host entra en estado de espera y el anterior se restaura después que se reanude.
Capsulas y espacios con retroiluminación, Rainbow o Retroiluminación de un solo LED opcional.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Conexión cable USB</li>
 	<li>Teclado Mecánico</li>
 	<li>104 teclas</li>
 	<li>Panel metal</li>
 	<li>RGB Retroiluminado</li>
</ul>
<strong>CODIGO: 45214</strong>

<strong>MODELO: GK 400F</strong>",,,taxable,,1,3,,0,0,,,,,0,,,6416,Tecnología,"gamer, PC, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/05/Teclado-Gamer-GK400F.jpg,,,,,,,,,0,,,,
5366,simple,45211,"Teclado Gaming HP GK320",1,1,visible,"Este teclado HP de alto rendimiento permite que puedas disfrutar de horas ilimitadas de juegos. Está diseñado especialmente para que puedas expresar tanto tus habilidades como tu estilo. Podrás mejorar tu experiencia de gaming, ya seas un aficionado o todo un experto y hacer que tus jugadas alcancen otro nivel.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Cableado Mecánico</li>
 	<li>SPA negro</li>
 	<li>USB</li>
 	<li>Retroiluminación multicolor</li>
 	<li>104 teclas.</li>
 	<li>6 teclas anti-ghosting.</li>
 	<li>Compatible Windows 2000/XP/7/8/10</li>
</ul>
CODIGO: 45211

MODELO: GK320",,,taxable,,1,3,,0,0,,,,,0,,,5500,Tecnología,"gamer, PC, TECLADO GAMER",,https://smartpro.com.ar/wp-content/uploads/2021/05/Teclado-Gamer-GK320.jpg,,,,,,,,,0,,,,
5367,simple,45213,"Teclado Gaming HP GK200",1,0,visible,"Este teclado HP de alto rendimiento permite que puedas disfrutar de horas ilimitadas de juegos. Está diseñado especialmente para que puedas expresar tanto tus habilidades como tu estilo. Podrás mejorar tu experiencia de gaming, ya seas un aficionado o todo un experto y hacer que tus jugadas alcancen otro nivel.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Conexión cable USB</li>
 	<li>Teclado Mecánico</li>
 	<li>104 teclas</li>
 	<li>Panel de metal</li>
 	<li>RGB</li>
</ul>
<strong>MODELO: GK200</strong>

<strong>CODIGO: 45213</strong>",,,taxable,,1,3,,0,0,,,,,0,,,6874,Tecnología,"gamer, PC, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/05/Teclado-Gamer-GK200.jpg,,,,,,,,,0,,,,
5368,simple,45220,"Combo Gaming HP GK1100",1,0,visible,"<strong>Marca: Hp</strong>
<ul>
 	<li>Modelo: HP-GK1100</li>
 	<li>Linea: Combo Gaming Teclado + Mouse</li>
 	<li>Sku: HP-GK110</li>
</ul>","Todo lo que necesitas saber sobre este producto.

<strong>Marca: Hp</strong>
<ul>
 	<li>Modelo: HP-GK1100</li>
 	<li>Linea: Combo Gaming Teclado + Mouse</li>
 	<li>Sku: HP-GK110</li>
 	<li>Combo Hp Gaming Teclado + Mouse</li>
 	<li>Diseño ergonómico</li>
 	<li>Conexión USB</li>
 	<li>Compatible con Windows y MAC</li>
</ul>
<strong>TECLADO:</strong>
<ul>
 	<li>104 Teclas con función multimedia</li>
 	<li> Water proof</li>
 	<li>Teclas de doble inyección</li>
 	<li>Tecla "" FN ""</li>
 	<li>Retroiluminado led multicolor</li>
 	<li>Vida útil de 10 millones de clics</li>
 	<li>Cable con filtro de 1.8m</li>
 	<li>Medidas: 46,3 X 19,2 X 3,1 Mm.</li>
 	<li>Peso: 815 Gr.</li>
</ul>
<strong>MOUSE:</strong>
<ul>
 	<li>4 Botonoes</li>
 	<li>Ajustable 800 – 2000 DPI</li>
 	<li>Sensor Sunplus 168A</li>
 	<li>Retroiluminado LED en 7 colores</li>
 	<li>Longitud del Cable: 1,5 Mts.</li>
 	<li>Dimensiones: 12,4 x 6,8 x 3,9 Mm.</li>
 	<li>Peso: 141,9 Gr.</li>
 	<li>Color: Combo Negro con luces LED</li>
</ul>
<strong>CODIGO: 45220</strong>

<strong>MODELO: GK1100</strong>",,,taxable,,1,3,,0,0,,,,,0,,,3693,Tecnología,"combo gaming, gamer, Mouse, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/05/Combo-Gaming-GK1100.jpg,,,,,,,,,0,,,,
5373,simple,45224,"Combo Gaming HP KM300",1,0,visible,"<strong>Marca: Hp</strong>
- Modelo: Km300
- Linea: Gamer Hp
- Sku: HP-Km300F","Todo lo que necesitas saber sobre este producto.

<strong>Marca: Hp</strong>
- Modelo: Km300
- Linea: Gamer Hp
- Sku: HP-Km300F
- Teclado Gamer Hp Retroiluminado + Mouse Km300F
- Teclado:
- Membrana de teclado
- Resistente a pequeños derrames de líquido
- Conexión USB
- Longitud nominal del cable: 1,60 m
- Número de teclas: 106
- Color: Gris
- Ratón:
- Diseño ergonómico
- Número de botones: 6
- Estructura resistente
- Longitud del cable: 1,50 m
- Sensor óptico
- Resolución óptica : 800-1200-1600-2400DPI
- Color: Negro

&nbsp;

<strong>CODIGO: 45224</strong>

<strong>MODELO: KM300</strong>

&nbsp;",,,taxable,,1,3,,0,0,,,,,0,,,4228,Tecnología,"gamer, GAMING, Mouse, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/05/Combo-Gaming-KM300.jpg,,,,,,,,,0,,,,
5374,simple,45221,"Combo Gaming HP KM100",1,0,visible,"<strong>Marca: Hp</strong>
- Modelo: HP-KM100
- Linea: Combo Teclado + Mouse Gaming Km100
- Sku: HP-KM100
- Teclado + Mouse Retroiluminado","Todo lo que necesitas saber sobre este producto.

<strong>Marca: Hp</strong>
- Modelo: HP-KM100
- Linea : Combo Teclado + Mouse Gaming Km100
- Sku: HP-KM100
- Teclado + Mouse Retroiluminado
- Diseño Elegante
- Resistente al agua
- Diseño Ergonómico
- 8 teclas rojas para cambiar
- Teclado 104 Teclas
- Mouse Con luz LED.
- Cantidad de Botones: 4 Botones
- Puerto USB
- Longitud del cable: 1,5 Mts.
- Resolución: 1000 -- 1600 Dpi.
- Medidas embalaje: 120 x 65 x 37 Mm.
- Peso: 10 Gr.
- Color: Negro",,,taxable,,1,3,,0,0,,,,,0,,,2445,Tecnología,"gamer, GAMING, Mouse, teclado",,https://smartpro.com.ar/wp-content/uploads/2021/05/Combo-Gaming-KM100.jpg,,,,,,,,,0,,,,
5375,simple,45232,"Auriculares Gaming HP H100",1,0,visible,"<ul>
 	<li>Tiene un micrófono y control de volumen incorporado.</li>
 	<li>Notebooks con un solo conector de Jack 3.5.</li>
 	<li>Compatible con teléfonos, tablets, PS4 y Xbox.</li>
 	<li>Marca: HP</li>
 	<li>De color negro</li>
 	<li>Número de modelo: H100</li>
</ul>
&nbsp;","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Conductor de 35 mm.</li>
 	<li>Tiene un micrófono y control de volumen incorporado.</li>
 	<li>Notebooks con un solo conector de Jack 3.5.</li>
 	<li>Compatible con teléfonos, tablets, PS4 y Xbox.</li>
 	<li>Marca: HP</li>
 	<li>De color negro</li>
 	<li>Número de modelo: H100</li>
 	<li>Conectividad: cableada</li>
 	<li>Micrófono incluido: si</li>
 	<li>Conductor de 35mm</li>
 	<li>Dimensiones: 194.5x119.4x233</li>
 	<li>Peso: 308g</li>
 	<li>Rango de frecuencia: 20Hz-20kHz</li>
 	<li>Bobina de conducción / Diámetro: 50mm</li>
 	<li>Cable: 2.2M (cable de goma)</li>
 	<li>Sensibilidad nominal: 42 ± 3dB</li>
 	<li>Grado desequilibrado: =4dB</li>
 	<li>Impedancia: 32O ± 10</li>
 	<li>Diámetro del altavoz: 50 mm</li>
 	<li>Interfaz: conector de 3,5 mm</li>
 	<li>Dimensiones del micrófono: 6mmx5mm</li>
 	<li>Impedancia de carga: 2.2k</li>
 	<li>Potencia máxima: 30mW</li>
 	<li>Corriente: 200mA.</li>
</ul>
<strong>CODIGO: H100</strong>

<strong>MODELO: 45232</strong>",,,taxable,,1,2,,0,0,,,,,0,,,4000,"Audio, Tecnología, Tiempo Libre","audifonos, Auriculares",,https://smartpro.com.ar/wp-content/uploads/2021/05/garmin-h100.jpg,,,,,,,,,0,,,,
5381,simple,45233,"Auriculares Gaming HP H200S",1,0,visible,"<ul>
 	<li>Auriculares para juegos HP H200S</li>
 	<li>Sonido estéreo de alta calidad con micrófono</li>
 	<li>Entrada 3,5 compatible con PC, PS4,LAPTOPS</li>
 	<li>Peso: 355 g</li>
</ul>
&nbsp;","Todo lo q necesitas saber sobre este producto.
<ul>
 	<li>Auriculares para juegos HP H200S</li>
 	<li>Sonido estéreo de alta calidad con micrófono</li>
 	<li>Entrada 3,5 compatible con PC, PS4,LAPTOPS</li>
 	<li>Peso: 355 g</li>
 	<li>Respuesta de frecuencia: 20 Hz 20 kHz</li>
 	<li>Diámetro de bobina móvil: 50mm</li>
 	<li>Longitud del cable: PVC 2,2 m</li>
 	<li>Sensibilidad: 108 3dB</li>
 	<li>Potencia máxima: 30 mW</li>
 	<li>Diámetro del altavoz: 50 mm</li>
 	<li>Interfaz de auriculares: interfaz de audio de 3,5 mm</li>
 	<li>Marca: Hp</li>
 	<li>Línea: Gamer</li>
 	<li>Color principal: Negro</li>
 	<li>Formato del auricular: Headset</li>
 	<li>Es inalámbrico: No</li>
 	<li>Con Bluetooth: No</li>
 	<li>Con micrófono: Si</li>
 	<li>Es monoaural: No</li>
 	<li>Es gamer: Si</li>
</ul>
MODELO: H200s

CODIGO: 45233",,,taxable,,1,2,,0,0,,,,,0,,,5100,"Audio, Tecnología, Tiempo Libre","audifonos, Auriculares, gamer",,https://smartpro.com.ar/wp-content/uploads/2021/05/auriculares-gamer-hp.jpg,,,,,,,,,0,,,,
5382,simple,45234,"Auriculares Gaming HP H220",1,0,visible,"<ul>
 	<li>Conector de 3.5mm + USB</li>
 	<li>Tecnología de cancelación de ruido.</li>
 	<li>Orejeras transpirables que envuelven el oído.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Conector de 3.5mm + USB</li>
 	<li>Tecnología de cancelación de ruido.</li>
 	<li>Orejeras transpirables que envuelven el oído.</li>
 	<li>Microfono flexible y ajustable.</li>
 	<li>El Driver de 40mm de alta fidelidad te brinda estabilidad y claridad de sonido único mientras disfrutas de tus juegos.</li>
 	<li>Luz por USB.</li>
 	<li>Tiene adaptador para PC con 2 fichas.</li>
 	<li>Dimensiones: 200x210x102mm</li>
 	<li>Rango de Frecuencia: 20Hz---20Khz.</li>
</ul>
<strong>MODELO: H220</strong>

<strong>CODIGO: 45234</strong>",,,taxable,,1,3,,0,0,,,,,0,,,5500,"Audio, Tecnología, Tiempo Libre","Auriculares, gamer, reproductor de audio",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Gaming-H220.jpg,,,,,,,,,0,,,,
5383,simple,45236,"Auriculares Gaming HP H360GS",1,0,visible,"<ul>
 	<li>Micrófono USB 7.1 SURROUND LUZ.</li>
 	<li>Luces laterales RGB.</li>
 	<li>Sonido envolvente.</li>
</ul>
&nbsp;","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Micrófono USB 7.1 SURROUND LUZ</li>
 	<li>Luces laterales RGB</li>
 	<li>Sonido envolvente</li>
 	<li>Tipo de conexión - Puerto USB2.0</li>
 	<li>Micrófono incorporado</li>
 	<li>Sistema de cancelación de ruido externo</li>
</ul>
<strong>MODELO: H360GS</strong>

<strong>CODIGO: 45236</strong>",,,taxable,,1,3,,0,0,,,,,0,,,6000,"Audio, Tecnología, Tiempo Libre","AUDIO, auricular, gamer, SONIDO",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Gaming-HG360GS.jpg,,,,,,,,,0,,,,
5384,simple,45235,"Auriculares Gaming HP H360",1,0,visible,"<ul>
 	<li>Micrófono incorporado.</li>
 	<li>Sistema de cancelación de ruido:</li>
 	<li>Conector de audio de 3.5mm</li>
 	<li>Luces laterales RGB.</li>
</ul>
&nbsp;","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Micrófono incorporado.</li>
 	<li>Sistema de cancelación de ruido:</li>
 	<li>Conector de audio de 3.5mm</li>
 	<li>Luces laterales RGB.</li>
 	<li>Marca: Hp</li>
 	<li>Línea: Gamer</li>
 	<li>Color: Negro</li>
 	<li>Formato del auricular: Headset</li>
</ul>
<strong>MODELO: H360</strong>

<strong>CODIGO: 45235</strong>",,,taxable,,1,3,,0,0,,,,,0,,,5000,"Audio, Tecnología, Tiempo Libre","AUDIO, auricular gamer, Auriculares, gamer",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Gaming-H360.jpg,,,,,,,,,0,,,,
5385,simple,51370,"Impresora láser monocromática Brother",1,0,visible,"<ul>
 	<li>ESCANEA - COPIA - IMPRIME</li>
 	<li>Impresora Multifuncional Láser Monocromático con conectividad en red inalámbrica.</li>
 	<li>Velocidad de impresión y copiado:  Ayuda a incrementar su productividad con una velocidad de impresión en negro de hasta 21 paginas por minuto.</li>
</ul>","Todo lo que necesitas saber sobre este producto
<ul>
 	<li>ESCANEA - COPIA - IMPRIME</li>
 	<li>Impresora Multifuncional Láser Monocromático con conectividad en red inalámbrica.</li>
 	<li>Velocidad de impresión y copiado:  Ayuda a incrementar su productividad con una velocidad de impresión en negro de hasta 21 paginas por minuto.</li>
 	<li>Conectividad de red inalámbrica y cableada: Es fácil de usar en red Ethernet o inalámbrica mediante la interfaz USB 2.o de alta velocidad.</li>
 	<li>Resultado de alta calidad: Imprima documentos de alta calidad con resolución de hasta 2400 x 600 dpi</li>
 	<li>Copiado independiente: No requiere de una PC para hacer copias. Función de copia I, ampliación / reducción de copiada 25% a 400% en incremento de 1%.</li>
 	<li>Impresión desde dispositivos móviles.</li>
 	<li>Diseño practico de cama plana.</li>
 	<li>Escaneo de alta calidad.</li>
 	<li>Manejo practico del papel.</li>
 	<li>Modo ahorro de tonner.</li>
</ul>
<strong>CODIGO: DCP-1617NW</strong>

<strong>MODELO: 51370</strong>",,,taxable,,1,3,,0,0,,,,,0,,,41500,"Hogar, Tecnología","impresora, laser",,https://smartpro.com.ar/wp-content/uploads/2021/05/Impresora-laser-monocromatica.jpg,,,,,,,,,0,,,,
5387,simple,51602,"Auriculares Philips TAUE100",1,0,visible,"Controladores de parlante de 14,2 mm para unos graves profundos y un sonido nítido
Los controladores de parlante de alta calidad de 14,2 mm con imán de neodimio proporcionan unos graves profundos y un sonido nítido.","Todo lo que necesitas saber sobre este producto.

Parlante con controlador de neodimio: sonido puro y equilibrado
El neodimio es el mejor material para crear un potente campo magnético capaz de incrementar la sensibilidad de la bobina móvil del parlante, mejorar la respuesta de los graves y brindar un sonido puro y equilibrado

Diseñados para ajustarse cómodamente a la forma de la oreja
El diseño se basa en la forma de la oreja para que sean cómodos de llevar y se ajusten a la perfección a todo el mundo.
<ul>
 	<li>Color Negro</li>
 	<li>Impedancia 32 ohmio</li>
 	<li>Entrada máxima de potencia 5 mW</li>
 	<li>Diámetro del parlante 14,2 mm</li>
 	<li>Sensibilidad 106 dB</li>
 	<li>Respuesta de frecuencia 20 - 20 000 Hz</li>
 	<li>Sistema acústico abierto</li>
 	<li>Longitud del cable 1 m</li>
</ul>
<strong>MODELO: TAUE100</strong>
<strong>CODIGO: 51602</strong>",,,taxable,,1,3,,0,0,,,,,0,,,1000,"Audio, Hogar, Tecnología, Tiempo Libre","audifono, Auriculares, MUSICA, reproductor de audio",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Philips-TAUE100.jpg,,,,,,,,,0,,,,
5398,simple,51604,"Auriculares Philips TAUE101",1,0,visible,"Controladores de parlante de 14,2 mm para unos graves profundos y un sonido nítido. Los controladores de parlante de alta calidad de 14,2 mm con imán de neodimio proporcionan unos graves profundos y un sonido nítido. Diseñados para ajustarse cómodamente a la forma de la oreja. El diseño se basa en la forma de la oreja para que sean cómodos de llevar y se ajusten a la perfección a todo el mundo.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Auriculares In Ear</li>
 	<li>Micrófono incorporado.</li>
 	<li>Botón de grabación.</li>
 	<li>Cable 1.2 m de longitud.</li>
</ul>
<strong>MODELO: TAUE101BK/00</strong>
<strong>CODIGO: 51604</strong>",,,taxable,,1,3,,0,0,,,,,0,,,1500,"Audio, Tecnología","audifono, Auriculares, MUSICA, reproductor de sonido, SONIDO",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Philips-TAUE101bk.jpg,,,,,,,,,0,,,,
5399,simple,51603,"Auriculares Philips SHE4305 BK",1,0,visible,"Experimentá un sonido impresionantemente potente que resuena desde un paquete compacto y resistente. Con controladores de parlante ajustados de manera especial para graves potentes, los auriculares Philips BASS+ proporcionan un excelente sistema de aislamiento de sonido y estabilidad para que puedas sacarle el máximo provecho a los ritmos.","Todo lo que necesitas saber sobre este producto.

Experimenta un sonido impresionantemente potente que resuena desde un paquete compacto y resistente. Con controladores de parlante ajustados de manera especial para graves potentes, los auriculares Philips BASS+ proporcionan un excelente sistema de aislamiento de sonido y estabilidad para que puedas sacarle el máximo provecho a los ritmos.
<ul>
 	<li>Sistema acústico Cerrado</li>
 	<li>Diafragma PET</li>
 	<li>Tipo de imán Neodimio</li>
 	<li>Bobina móvil CCAW</li>
 	<li>Sensibilidad 107 dB</li>
 	<li>Diámetro del parlante 12,2 mm</li>
 	<li>Entrada máxima de potencia 30 mW</li>
 	<li>Impedancia 32 ohmio</li>
 	<li>Respuesta de frecuencia 9 - 23.000 Hz</li>
</ul>
<strong>MODELO: SHE4305 BK/00</strong>
<strong>CODIGO: 51603</strong>",,,taxable,,1,3,,0,0,,,,,0,,,1800,"Audio, Tecnología","audifono, Auriculares, MUSICA, reproductor de sonido, SONIDO",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Philips-SHE4305bk.jpg,,,,,,,,,0,,,,
5400,simple,51607,"Auriculares Philips SHS3305 BK/10",1,0,visible,"El formato especial y los excelentes materiales de las almohadillas de estos audífonos Philips, te garantizan una perfecta adaptación y más comodidad. Previenen la pérdida de sonido y mejoran el rendimiento de graves. Las almohadillas están diseñadas para acoplarse perfectamente a la zona de la oreja.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Auriculares In ear con micrófono Philips shs3305bk/10</li>
 	<li>Graves extra para un sonido potente</li>
 	<li>Auriculares de 15 mm/parte pos. abierta</li>
 	<li>Soporte para la oreja</li>
 	<li>El controlador de parlantes de 27 mm proporciona un excelente rendimiento</li>
 	<li>El controlador de parlantes de 27 mm es compacto, cómodo y ofrece un sonido claro y potente con el tamaño ideal para disfrutar del sonido sin distorsiones.</li>
 	<li>Rejillas de vent. Bass Beat p/ circulación de aire para un mejor sonido</li>
 	<li>Las rejillas de ventilación Bass Beat permiten la circulación del aire para lograr un sonido mejor con graves profundos.</li>
 	<li>Cómodas almohadillas con mejor respuesta de graves</li>
 	<li>El formato especial y los excelentes materiales de las almohadillas de estos audífonos Philips, te garantizan una perfecta adaptación y más comodidad. Previenen la pérdida de sonido y mejoran el rendimiento de graves. Las almohadillas están diseñadas para acoplarse perfectamente a la zona de la oreja.</li>
</ul>
<strong>MODELO: SHE3305 BK/10</strong>
<strong>CODIGO: 51607</strong>",,,taxable,,1,3,,0,0,,,,,0,,,2670,"Audio, Tecnología, Tiempo Libre","audifonos, Auriculares, reproductor de audio",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Philips-SHS3305bk.jpg,,,,,,,,,0,,,,
5401,simple,51627,"Auriculares Philips TAH1205 BK",1,0,visible,"<ul>
 	<li>Auriculares On Ear Bluetooth</li>
 	<li>Mantene tu música cerca.</li>
 	<li>15 horas de tiempo de reproducción</li>
 	<li>Carga rápida</li>
</ul>","Todo lo que necesitas saber sobre este producto
<ul>
 	<li>Auriculares On Ear Bluetooth</li>
 	<li>Mantene tu música cerca.</li>
 	<li>15 horas de tiempo de reproducción</li>
 	<li>Carga rápida</li>
 	<li>Micrófono para llamadas con manos libres</li>
 	<li>Botón multifunción. Controla fácilmente la música y las llamadas</li>
 	<li>Controladores de 32mm</li>
 	<li>Almohadillas suaves para mayor comodidad</li>
 	<li>Banda sujetadora acolchada, ligera y ajustable.</li>
</ul>
<strong>MODELO: TAH1205 BK/00</strong>

<strong>CODIGO: 51627</strong>",,,taxable,,1,3,,0,0,,,,,0,,,5676,"Audio, Tecnología","audifono, auricular",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Philips-TAH1205.jpg,,,,,,,,,0,,,,
5402,simple,51631,"Auriculares Philips TAT2205 BK",1,0,visible,"<ul>
 	<li>Auriculares True Wireless.</li>
 	<li>4 hs de autonomía extensible hasta 12 hs con el estuche.</li>
 	<li>Protección IPX4 resistente para salpicaduras y transpiración.</li>
</ul>","Todo lo que necesitas saber sobre este producto
<ul>
 	<li>Auriculares True Wireless.</li>
 	<li>4 hs de autonomía extensible hasta 12 hs con el estuche.</li>
 	<li>Protección IPX4 resistente para salpicaduras y transpiración.</li>
 	<li>Micrófono y control de llamadas desde el auricular.</li>
 	<li>Emparejamiento automático entre auriculares.</li>
 	<li>Bluetooth 5.1 con mayor velocidad y radio de alcance.</li>
 	<li>Asistente de voz.</li>
</ul>
<strong>MODELO: TAT2205 BK/00</strong>

<strong>CODIGO: 51631</strong>",,,taxable,,1,3,,0,0,,,,,0,,,7383,"Audio, Tecnología, Tiempo Libre","audifonos, Auriculares",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Philips-TAT2205.jpg,,,,,,,,,0,,,,
5403,simple,51632,"Auriculares Philips SHQ6500CL",1,0,visible,"<ul>
 	<li>Auriculares in Ear Bluetooth deportivos.</li>
 	<li>4,5 hs. de autonomía.</li>
 	<li>Micrófono y control de llamadas desde el auricular.</li>
</ul>
&nbsp;","Todo lo que necesitas saber sobre este producto
<ul>
 	<li>Auriculares in Ear Bluetooth deportivos.</li>
 	<li>4,5 hs. de autonomía.</li>
 	<li>Micrófono y control de llamadas desde el auricular.</li>
 	<li>Resistente al agua y al sudor IPX2.</li>
 	<li>Cable de kevlar para una mayor durabilidad.</li>
 	<li>Alcance máximo de 10 metros.</li>
</ul>
<strong>MODELO: SHQ6500CL/00</strong>

<strong>CODIGO: 51632</strong>",,,taxable,,1,3,,0,0,,,,,0,,,9111,"Audio, Hogar, Tiempo Libre","audifonos, Auriculares",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Philips-SHQ6500.jpg,,,,,,,,,0,,,,
5404,simple,45230,"Auriculares Gaming HP H220S",1,0,visible,"'- Micrófono flexible y ajustable, con tecnología de cancelación de ruidos permite llamadas más claras.
- Diseño liviano: Brinda gran comodidad con orejeras transpirables que envuelven el oído sin generar presión.
- Driver de 40mm de alta fidelidad: Brinda estabilidad y claridad de sonido mientras disfrutas de tu partida.","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Compatible con PC/Notebook/Playsattion 4</li>
 	<li>Micrófono flexible y ajustable con cancelación de ruidos.</li>
 	<li>Rango de frecuencia: 20Hz - 20KHz</li>
 	<li>Driver: 40mm</li>
 	<li>Impedancia: 32ohm</li>
 	<li>Largo de cable: 2.2m</li>
 	<li>Dimensiones: 200 x 210 x 102mm</li>
 	<li>Peso: 330g.</li>
</ul>
<strong>MODELO: H220S</strong>

<strong>CODIGO: 45230</strong>",,,taxable,,1,3,,0,0,,,,,0,,,5000,"Audio, Tecnología","AUDIO, Auriculares, gamer, reproductor de audio",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Gaming-H220S.jpg,,,,,,,,,0,,,,
5405,simple,45231,"Auriculares Gaming HP H160",1,0,visible,"<ul>
 	<li>Reducción de ruido ambiente.</li>
 	<li>Micrófono de alta sensibilidad.</li>
 	<li>Luz Led Multicolor.</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Reducción de ruido ambiente.</li>
 	<li>Micrófono de alta sensibilidad.</li>
 	<li>Luz Led Multicolor.</li>
 	<li>Conexión 3.5mm y USB</li>
 	<li>Peso: 260 g.</li>
 	<li>Color: NEGRO</li>
 	<li>Formato: ON EAR</li>
 	<li>Línea: GAMING</li>
 	<li>Marca: HP</li>
 	<li>Modelo: H160</li>
</ul>
<strong>MODELO: H160</strong>

<strong>CODIGO: 45231</strong>",,,taxable,,1,3,,0,0,,,,,0,,,5500,"Audio, Tecnología, Tiempo Libre","audifonos, auriculeres, gamer, reproductor de audio",,https://smartpro.com.ar/wp-content/uploads/2021/05/Auriculares-Gaming-H160.jpg,,,,,,,,,0,,,,
5406,variable,"42004 - 42005 - 42003","Micro SD Clase 10 Android",1,0,visible,"<ul>
 	<li>Tarjeta ScanDisk Micro SD</li>
</ul>
<strong>CODIGO: 42004 - 42005 - 42003</strong>","<ul>
 	<li>Tarjeta SanDisk Micro SD</li>
</ul>",,,taxable,,1,3,,0,0,,,,,0,,,,Tecnología,"MEMORIA, SD, Tarjeta de memoria",,https://smartpro.com.ar/wp-content/uploads/2021/05/Mico-SD-16GB-Clase-10-Android.jpg,,,,,,,,,0,Capacidad,"16GB, 32GB, 64GB",1,0
5410,variable,"42033 - 42013","Micro SD Clase 10 Extreme",1,0,visible,"<ul>
 	<li>Tarjeta SanDisk Micro SD Extreme</li>
</ul>
<strong>CODIGO: 42033 - 42013</strong>","Tarjeta SanDisk Micro SD Extreme",,,taxable,,1,3,,0,0,,,,,0,,,,Tecnología,"MEMORIA, SD",,https://smartpro.com.ar/wp-content/uploads/2021/05/Micro-SD-32GB-Clase-10.jpg,,,,,,,,,0,Capacidad,"32GB, 64GB",1,0
5416,simple,42052,"Lector de memoria SD",1,0,visible,"<ul>
 	<li>Lector de memoria SD</li>
</ul>","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Lector de memoria SD</li>
</ul>
<strong>CODIGO: 42052</strong>

<strong>MODELO: LY001</strong>",,,taxable,,1,3,,0,0,,,,,0,,,375,Tecnología,"LECTOR DE MEMORIA, SD",,https://smartpro.com.ar/wp-content/uploads/2021/05/Lector-de-memoria-SD.jpg,,,,,,,,,0,,,,
5419,simple,42053,"Lector de memoria micro SD",1,0,visible,"Lector de memoria micro SD","Todo lo que necesitas saber sobre este producto.
<ul>
 	<li>Lector de memoria micro SD</li>
</ul>
<strong>MODELO: CR1020</strong>

<strong>CODIGO: 42053</strong>",,,taxable,,1,3,,0,0,,,,,0,,,363,Tecnología,"LECTOR DE MEMORIA, MICRO SD",,https://smartpro.com.ar/wp-content/uploads/2021/05/Lector-de-memoria-Micro-SD.jpg,,,,,,,,,0,,,,
